fiscal_yr,service_id,service_name_en,service_name_fr,service_standard_id,service_standard_en,service_standard_fr,type,channel,channel_comments_en,channel_comments_fr,target,volume_meeting_target,total_volume,performance,comments_en,comments_fr,target_met,standards_targets_uri_en,standards_targets_uri_fr,performance_results_uri_en,performance_results_uri_fr,owner_org,owner_org_title
2023-2024,2224,AAFC Contact Centre,Centre d’appels de la Direction des programmes du revenu agricole (DPRA),3261,Answer calls received within 60 seconds,On répond aux appels dans un délai de 60 secondes,TML,TEL,,,0.9,31283,31689,0.9872,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability/resources/service-standard-statistics#a1,https://agriculture.canada.ca/fr/programmes-services-agricoles/agri-stabilite/ressources/statistiques-normes-service#a1,https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability/resources/service-standard-statistics#a1,https://agriculture.canada.ca/fr/programmes-services-agricoles/agri-stabilite/ressources/statistiques-normes-service#a1,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV03054,African Swine Fever Industry Preparedness Program: Prevention and Preparedness Stream,Programme de préparation de l’industrie à la peste porcine africaine : Volet Prévention et préparation,5581,Respond to general inquiries made to our email address  before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,8,9,0.8889,,,Y,https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-prevention-stream/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-prevention/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-prevention-and-preparedness-stream/step-3-how-to-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-prevention-preparation/etape-3-comment-presenter-une-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV03054,African Swine Fever Industry Preparedness Program: Prevention and Preparedness Stream,Programme de préparation de l’industrie à la peste porcine africaine : Volet Prévention et préparation,5583,Send you an approval or a rejection notification letter within 100 business days of receiving a fully complete applicant package,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,23,23,1.0,,,Y,https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-prevention-stream/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-prevention/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-prevention-and-preparedness-stream/step-3-how-to-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-prevention-preparation/etape-3-comment-presenter-une-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV03054,African Swine Fever Industry Preparedness Program: Prevention and Preparedness Stream,Programme de préparation de l’industrie à la peste porcine africaine : Volet Prévention et préparation,5584,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,6,6,1.0,,,Y,https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-prevention-stream/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-prevention/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-prevention-and-preparedness-stream/step-3-how-to-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-prevention-preparation/etape-3-comment-presenter-une-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV03055,African Swine Fever Industry Preparedness Program: Welfare Slaughter and Disposal Stream,Programme de préparation de l’industrie à la peste porcine africaine : Volet Abattage par compassion et élimination,5585,Respond to general inquiries made to our email address  before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,10,12,0.8333,,,Y,https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-welfare-slaughter-disposal-stream/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-welfare-slaughter-and-disposal-stream/step-3-how-to-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-3-comment-presenter-une-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV03055,African Swine Fever Industry Preparedness Program: Welfare Slaughter and Disposal Stream,Programme de préparation de l’industrie à la peste porcine africaine : Volet Abattage par compassion et élimination,5587,Send you an approval or a rejection notification letter within 100 business days of receiving a fully complete applicant package,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,24,25,0.96,,,Y,https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-welfare-slaughter-disposal-stream/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-welfare-slaughter-and-disposal-stream/step-3-how-to-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-3-comment-presenter-une-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV03055,African Swine Fever Industry Preparedness Program: Welfare Slaughter and Disposal Stream,Programme de préparation de l’industrie à la peste porcine africaine : Volet Abattage par compassion et élimination,5588,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,4,4,1.0,,,Y,https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-welfare-slaughter-disposal-stream/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-welfare-slaughter-and-disposal-stream/step-3-how-to-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-3-comment-presenter-une-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,136,AgriAssurance: National Industry Association Component,Programme Agri-assurance : Volet Associations nationales de l'industrie,374,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,59,59,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,136,AgriAssurance: National Industry Association Component,Programme Agri-assurance : Volet Associations nationales de l'industrie,2396,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,19,20,0.95,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,136,AgriAssurance: National Industry Association Component,Programme Agri-assurance : Volet Associations nationales de l'industrie,2397,Send you an approval or a rejection notification letter within 100 business days of receiving a fully complete applicant package,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,7,21,0.3333,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,158,AgriAssurance: Small and Medium-sized Enterprise,Programme Agri-assurance : Volet Petites et moyennes entreprises,391,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,7,7,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-small-and-medium-sized-enterprise-component/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-petites-moyennes-entreprises/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriassurance-small-and-medium-sized-enterprise-component/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-petites-moyennes-entreprises/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
